169,"(52.2220446, 6.748093799999999)"
170,"(52.1197199, -1.8925485)"
171,
172,"(51.5248618, -0.0087117)"
173,"(55.9415367, -3.1845169)"
174,"(51.5299906, -0.09111459999999999)"
175,"(53.8382118, -1.7898739)"
176,"(52.9618724, -1.1581345)"
177,"(52.6814294, -1.9455236)"
178,"(51.5668382, -1.785952)"
179,
180,"(53.0039044, -2.2716475)"
181,"(55.8615097, -4.2467022)"
182,
183,"(53.3896342, -2.6066857)"
184,"(48.2575848, 124.7792303)"
185,"(51.5208662, -0.1090675)"
186,"(51.0652677, -1.7954487)"
187,"(51.2836021, -0.7728824)"
188,
189,"(48.2575848, 124.7792303)"
190,
191,"(32.5909562, -85.49297849999999)"
192,"(51.7127707, -0.4408498)"
193,"(51.1297285, -1.7088344)"
194,"(51.4946958, -0.1426943)"
195,"(48.2575848, 124.7792303)"
196,"(51.58159550000001, -0.3316383)"
197,"(48.2575848, 124.7792303)"
198,"(52.9555003, -1.1432387)"
199,"(51.52728560000001, -0.08404829999999999)"
200,"(51.5142651, -0.1422299)"
201,
202,"(51.46845380000001, -2.5634068)"
203,
204,"(51.08197750000001, -2.6539761)"
205,
206,"(51.52877669999999, -0.0878062)"
207,"(48.2575848, 124.7792303)"
208,"(51.4971499, -0.1471904)"
209,"(52.4526169, -2.1579212)"
210,"(52.5193022, -1.477829)"
211,"(52.52369780000001, -1.2939825)"
212,
213,"(52.5951563, -1.2032614)"
214,"(52.235259, 0.1537001)"
215,"(53.38226659999999, -1.479093)"
216,"(52.43355949999999, -4.0173347)"
217,
218,"(52.33972370000001, -1.5245364)"
219,"(51.6096175, -3.9806297)"
220,"(51.5133899, -0.0998573)"
221,"(51.5088946, -0.5953634)"
222,"(52.9231383, -1.4842903)"
223,"(51.51073239999999, -0.1169377)"
224,"(-29.1641424, -51.1497178)"
225,"(51.7572638, -1.2448688)"
226,"(48.2575848, 124.7792303)"
227,"(53.3762149, -1.4995947)"
228,
229,"(53.4540601, -2.3706805)"
230,"(54.0447247, -2.7973004)"
231,"(51.5007339, -0.1781383)"
232,
233,"(53.9496847, -1.0476646)"
234,"(13.5821712, 43.3147573)"
235,
236,"(53.83452339999999, -1.4625445)"
237,
238,"(53.4021714, -2.9791424)"
239,"(50.844738, -1.0696872)"
240,"(53.6224156, -1.7189353)"
241,
242,
243,
244,"(51.51223599999999, -0.1282898)"
245,"(53.8075717, -1.5605465)"
246,
247,"(52.4264154, -0.5225841999999999)"
248,"(51.5312818, -0.1025227)"
249,"(51.4519713, -2.5998151)"
250,"(52.8657769, -1.6815396)"
251,
252,"(48.2575848, 124.7792303)"
253,"(52.2094603, 0.0693432)"
254,"(51.1297285, -1.7088344)"
255,"(51.5787296, -3.5678701)"
256,"(55.9310065, -3.1741117)"
257,"(52.70688879999999, -1.7769307)"
258,"(52.7691138, -1.2019495)"
259,"(53.3762737, -2.5595369)"
260,"(48.2575848, 124.7792303)"
261,
262,
263,"(54.6119114, -5.8973189)"
264,"(51.1259293, 0.2583696)"
265,"(51.7949654, -0.6771241)"
266,
267,
